cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision
243,369,21.964,16.4,7.172,25.846,45.149,61.201,75.832,20.918,47.187,70.183,90.276,108.665,0.0,725436.35375,4162720.38225,21.9635,9.91231749989674,4.145,1,368,6,1.855,1.859,1.737,2.063,3.246,2.342,2.339,2.514,2.447,2.628,2.122,2.106,2.246,2.155,1.0,28.0,725436.246,4162720.115,0,26844.5658775,1,16.856333218866,18.6842838333333,10.3760119315566,10.2029000004061,Point,725436.246,4162720.115,72.06036976,Alive,1,Keep
223,344,20.741,13.4,3.482,13.689,25.86,32.932,36.699,12.936,31.768,51.222,64.309,73.515,8.2,725439.5615,4162723.17675,20.741,7.1096295620664,4.212,1,343,6,2.364,2.294,2.54,2.466,2.576,2.136,2.284,2.2,2.037,2.394,2.15,2.296,2.248,2.155,8.0,206.0,725439.348,4162723.134,0,26844.5658775,1,11.2117683170251,12.5226541666667,8.43127552371087,8.35564000674657,Point,725439.348,4162723.134,68.04790244,Alive,3,Keep
219,339,20.788,14.2,3.442,13.67,20.724,26.478,30.622,12.421,31.943,44.057,56.44,65.216,13.8,725441.31925,4162723.6765,20.78825,4.92381134384777,3.025,1,338,7,2.009,2.643,2.194,2.524,2.601,2.457,2.166,2.14,2.152,2.477,2.523,2.324,2.355,2.353,8.0,245.0,725441.368,4162723.367,0,26844.5658775,1,10.4596272879145,12.4414199333333,8.27824124290989,8.74665334242447,Point,725441.368,4162723.367,68.20210192,Alive,4,Keep
216,335,22.069,15.0,3.799,15.682,27.767,35.934,42.71,13.479,34.643,53.611,67.081,80.188,0.0,725443.04525,4162723.93225,22.069,5.97341331254575,3.303,1,334,7,2.496,2.702,2.456,2.941,3.277,2.789,2.941,2.997,3.189,2.895,2.656,2.81,2.823,2.997,4.0,85.0,725443.221,4162724.177,0,26844.5658775,1,13.0493878256981,13.2090699333333,8.74830492549546,8.668816706059,Point,725443.221,4162724.177,72.40485796,Alive,5,Keep
204,322,21.876,13.2,2.874,15.339,29.308,37.961,42.947,11.337,34.644,54.391,68.929,79.56,0.0,725444.9435,4162725.578,21.8765,7.32180196925765,3.895,1,321,5,1.558,1.78,1.667,1.837,1.131,1.539,1.59,1.533,1.5,1.246,1.582,1.597,1.587,1.569,7.0,142.0,725444.608,4162725.918,0,26844.5658775,1,12.8086221979672,13.6969323666667,9.01733608626542,9.08799334755881,Point,725444.608,4162725.918,71.77165584000001,Alive,6,Keep
198,315,21.869,13.6,3.944,19.968,37.459,50.08,58.725,14.735,40.752,62.605,79.881,93.454,0.0,725446.517,4162726.702,21.869,10.6583528124029,4.715,1,314,8,3.078,2.405,2.669,2.33,2.244,2.749,3.04,3.125,3.16,2.292,2.543,2.669,2.691,2.675,4.0,58.0,725446.519,4162727.003,0,26844.5658775,1,14.79239896404,13.7430543,9.250544128912,9.01002662012898,Point,725446.519,4162727.003,71.74868996,Alive,7,Keep
187,302,21.245,19.0,5.463,21.688,34.907,52.633,62.696,16.863,41.835,58.196,80.46,95.487,0.0,725449.00025,4162728.85425,21.24525,9.55047546868445,4.346,1,301,6,2.099,1.869,1.872,2.429,2.94,2.465,2.172,2.523,2.62,2.384,2.143,1.941,2.126,2.211,0.0,0.0,725449.026,4162728.421,0,26844.5658775,1,14.9825561179466,16.4451869333334,9.56934258074418,9.53799336252437,Point,725449.026,4162728.421,69.7014458,Alive,8,Keep
179,293,21.423,15.2,3.102,14.452,25.321,32.947,41.362,11.349,33.163,51.28,64.013,78.437,0.0,725451.076,4162729.7485,21.4235,7.00411796901608,4.154,1,292,7,2.14,2.424,2.302,2.908,1.911,2.178,2.276,2.162,2.39,1.882,2.203,2.34,2.206,2.374,2.0,48.0,725450.837,4162729.709,0,26844.5658775,1,12.5734127536738,14.6963379333333,9.02712835603399,9.16767668240294,Point,725450.837,4162729.709,70.28543531999999,Alive,9,Keep
168,278,21.21,13.6,3.275,15.802,34.403,48.564,68.793,12.181,35.348,61.076,81.144,106.827,13.0,725453.4825,4162731.7965,21.21,11.8185736244777,5.4,1,277,6,2.41,1.966,2.068,2.065,2.213,2.069,2.341,2.382,2.89,1.99,1.962,2.121,2.138,2.422,4.0,53.0,725453.193,4162732.422,0,26844.5658775,1,15.5140127824954,14.1108795666667,10.0900960859546,9.60305997899983,Point,725453.193,4162732.422,69.5866164,Alive,11,Keep
159,269,20.174,13.0,3.221,12.571,23.711,32.103,44.374,12.503,30.653,48.642,62.641,82.89,9.4,725456.53925,4162734.0105,20.17425,6.72631146834465,4.056,1,268,7,1.934,2.314,2.177,2.336,2.855,2.011,2.005,2.082,2.27,2.661,2.089,2.102,2.162,2.325,7.0,249.0,725456.492,4162734.014,0,26844.5658775,1,11.6027815667185,13.8637293,9.00497882882508,8.78532001215833,Point,725456.492,4162734.014,66.18766615999999,Alive,13,Keep
