geom_x,geom_y,plotID,treeID,pDBH_RF,Z,Z_ft
725436.246,4162720.115,1,369,10.2029000004061,21.964,72.06036976
725441.368,4162723.367,1,339,8.74665334242447,20.788,68.20210192
725443.221,4162724.177,1,335,8.668816706059,22.069,72.40485796
725444.608,4162725.918,1,322,9.08799334755881,21.876,71.77165584000001
725449.026,4162728.421,1,302,9.53799336252437,21.245,69.7014458
725453.193,4162732.422,1,278,9.60305997899983,21.21,69.5866164
725458.01,4162734.694,1,10,8.33927002332423,19.644,64.44882095999999
725459.484,4162735.528,1,262,8.65008332694963,20.121,66.01378163999999
725461.391,4162736.441,1,257,9.0020367154876,21.537,70.65945108
725462.931,4162737.642,1,8,8.54279664234083,19.616,64.35695744
725464.363,4162738.69,1,248,8.76108332469729,20.498,67.25065832
725466.022,4162739.347,1,242,8.05504338561857,20.224,66.35170816
725467.479,4162740.836,1,239,8.97326000201716,20.398,66.92257432
725473.385,4162744.975,1,232,9.83007665415343,20.647,67.73950348
725437.705,4162717.337,1,392,9.9333299900585,22.857,74.99015988
725443.226,4162721.201,1,357,8.42441999585313,21.728,71.28609152
725445.064,4162722.048,1,349,8.2972166886696,21.726,71.27952984
725446.298,4162723.524,1,340,8.46864666292934,19.406,63.667981039999994
725447.93,4162723.772,1,338,7.96280669263831,19.629999999999995,64.40288919999999
725453.936,4162728.082,1,304,8.10179003828217,20.013000000000005,65.65945092000001
725455.207,4162729.299,1,296,7.7886000122568,19.998,65.61023832000001
725456.869,4162730.172,1,291,8.69591000465927,20.863,68.44816492
725458.792,4162731.292,1,283,8.40617334707637,21.685999999999996,71.14829624
725461.585,4162732.993,1,273,8.1817866999393,21.633999999999997,70.97769256
725463.773,4162733.969,1,270,8.99239003568517,20.692,67.88714128
725465.829,4162735.866,1,259,6.84524666048074,19.385,63.599083400000005
725467.509,4162737.032,1,254,7.86789001600827,19.823,65.03609132
725469.082,4162738.083,1,250,8.2965599938172,19.865,65.17388659999999
725470.708,4162739.164,1,243,8.60446668106653,20.623,67.66076332
725475.703,4162742.737,1,236,9.49885334725409,19.68,64.5669312
725441.184,4162712.637,1,443,9.6358833255465,21.530000000000005,70.63648520000001
725446.384,4162716.006,1,410,8.09311334282003,21.075,69.143703
725448.108,4162716.869,1,402,8.3039200157515,21.56,70.73491039999999
725449.57,4162717.809,1,389,8.5292100061616,20.638,67.70997592
725451.142,4162719.25,1,379,7.81775999322096,21.464,70.41994976
725454.136,4162720.827,1,362,8.49734998561173,21.041,69.03215444
725457.124,4162722.944,1,343,8.49379002616477,22.236000000000004,72.95275824000001
725459.067,4162723.838,1,336,8.98610334889393,22.216,72.88714144000001
725460.314,4162725.033,1,18,8.58343331316536,21.117,69.28149828000001
725466.418,4162729.215,1,297,8.67412338594526,21.72,71.2598448
725468.142,4162730.422,1,289,7.63927334122247,21.792,71.49606528000001
