plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,369,24,10.2029000004061,72.06036976,10.218,73.07,10.244,74.102,10.271,75.093,10.294,76.045,10.314,76.961
1,355,24,9.079240011921,67.69029088,9.083,68.503,9.092,69.362,9.101,70.185,9.109,70.976,9.116,71.737
1,344,24,8.35564000674657,68.04790244,8.357,68.772,8.362,69.545,8.367,70.286,8.371,70.998,8.374,71.682
1,339,24,8.74665334242447,68.20210192,8.748,68.899,8.752,69.654,8.756,70.378,8.759,71.073,8.762,71.742
1,335,24,8.668816706059,72.40485796,8.67,73.078,8.674,73.826,8.678,74.543,8.681,75.232,8.684,75.894
1,322,24,9.08799334755881,71.77165584000001,9.089,72.467,9.094,73.251,9.099,74.003,9.103,74.725,9.107,75.419
1,315,24,9.01002662012898,71.74868996,9.011,72.44,9.017,73.236,9.023,73.999,9.028,74.732,9.032,75.437
1,302,24,9.53799336252437,69.7014458,9.539,70.395,9.547,71.226,9.555,72.023,9.562,72.788,9.568,73.524
1,293,24,9.16767668240294,70.28543531999999,9.168,70.946,9.173,71.737,9.178,72.495,9.183,73.223,9.187,73.923
1,285,24,8.76251336654387,67.09973968,8.763,67.748,8.768,68.523,8.773,69.266,8.777,69.98,8.781,70.667
1,278,24,9.60305997899983,69.5866164,9.604,70.284,9.612,71.119,9.62,71.92,9.627,72.69,9.633,73.43
1,276,24,9.11692002482594,67.03084204,9.118,67.686,9.123,68.476,9.128,69.234,9.133,69.962,9.137,70.662
1,269,24,8.78532001215833,66.18766615999999,8.786,66.827,8.791,67.597,8.796,68.335,8.8,69.044,8.803,69.726
1,10,24,8.33927002332423,64.44882095999999,8.34,65.067,8.344,65.809,8.348,66.521,8.351,67.205,8.354,67.863
1,262,24,8.65008332694963,66.01378163999999,8.651,66.655,8.656,67.432,8.661,68.177,8.665,68.893,8.669,69.581
1,257,24,9.0020367154876,70.65945108,9.003,71.328,9.01,72.141,9.017,72.92,9.023,73.669,9.028,74.389
1,8,24,8.54279664234083,64.35695744,8.544,65.012,8.549,65.794,8.554,66.544,8.558,67.264,8.562,67.956
1,248,24,8.76108332469729,67.25065832,8.762,67.927,8.768,68.723,8.774,69.487,8.779,70.22,8.783,70.925
