plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,369,24,10.2029000004061,72.06036976,10.235,73.231,10.277,74.36,10.319,75.443,10.355,76.484,10.386,77.485
1,344,24,8.35564000674657,68.04790244,8.361,68.896,8.369,69.736,8.377,70.541,8.384,71.313,8.39,72.055
1,339,24,8.74665334242447,68.20210192,8.75,68.987,8.755,69.769,8.76,70.519,8.764,71.239,8.768,71.931
1,335,24,8.668816706059,72.40485796,8.671,73.152,8.675,73.911,8.679,74.638,8.683,75.336,8.686,76.007
1,322,24,9.08799334755881,71.77165584000001,9.091,72.544,9.096,73.331,9.101,74.086,9.106,74.811,9.11,75.508
1,315,24,9.01002662012898,71.74868996,9.012,72.508,9.017,73.291,9.022,74.041,9.026,74.761,9.03,75.453
1,302,24,9.53799336252437,69.7014458,9.541,70.47,9.547,71.273,9.553,72.043,9.558,72.783,9.563,73.494
1,293,24,9.16767668240294,70.28543531999999,9.17,71.031,9.175,71.81,9.18,72.557,9.184,73.274,9.188,73.964
1,278,24,9.60305997899983,69.5866164,9.607,70.405,9.615,71.247,9.623,72.054,9.63,72.829,9.636,73.575
1,269,24,8.78532001215833,66.18766615999999,8.787,66.917,8.791,67.659,8.795,68.371,8.798,69.055,8.801,69.712
1,10,24,8.33927002332423,64.44882095999999,8.34,65.129,8.342,65.815,8.344,66.474,8.346,67.107,8.347,67.715
1,262,24,8.65008332694963,66.01378163999999,8.651,66.713,8.653,67.419,8.655,68.096,8.657,68.744,8.659,69.367
1,257,24,9.0020367154876,70.65945108,9.004,71.392,9.007,72.127,9.01,72.832,9.013,73.509,9.015,74.16
1,8,24,8.54279664234083,64.35695744,8.544,65.078,8.547,65.789,8.55,66.472,8.552,67.128,8.554,67.759
1,248,24,8.76108332469729,67.25065832,8.763,67.994,8.766,68.728,8.769,69.432,8.772,70.108,8.774,70.755
1,242,24,8.05504338561857,66.35170816,8.056,67.055,8.058,67.745,8.06,68.407,8.062,69.043,8.064,69.654
1,239,24,8.97326000201716,66.92257432,8.977,67.729,8.983,68.52,8.989,69.279,8.994,70.008,8.998,70.709
1,237,24,8.19378339508536,68.56299432,8.197,69.364,8.202,70.146,8.207,70.896,8.211,71.616,8.215,72.308
1,232,24,9.83007665415343,67.73950348,9.855,68.849,9.887,69.92,9.919,70.949,9.947,71.937,9.971,72.888
1,443,24,9.6358833255465,70.63648520000001,9.643,71.522,9.659,72.46,9.675,73.359,9.688,74.222,9.7,75.052
1,421,24,8.9635466846718,68.71063212,8.965,69.416,8.97,70.196,8.975,70.944,8.979,71.662,8.983,72.352
1,402,24,8.3039200157515,70.73491039999999,8.304,71.321,8.305,71.969,8.306,72.591,8.307,73.188,8.308,73.762
1,389,24,8.5292100061616,67.70997592,8.529,68.288,8.53,68.928,8.531,69.54,8.532,70.128,8.533,70.693
1,379,24,7.81775999322096,70.41994976,7.818,70.968,7.819,71.574,7.82,72.155,7.821,72.712,7.821,73.246
1,362,24,8.49734998561173,69.03215444,8.497,69.601,8.498,70.25,8.499,70.873,8.5,71.471,8.501,72.046
1,336,24,8.98610334889393,72.88714144000001,8.986,73.467,8.988,74.134,8.99,74.774,8.991,75.388,8.992,75.979
1,321,24,8.74093999301883,72.24737764,8.741,72.805,8.742,73.425,8.743,74.018,8.744,74.588,8.745,75.136
1,308,24,8.68083334978514,68.0446216,8.681,68.604,8.682,69.212,8.683,69.795,8.684,70.356,8.684,70.896
1,305,24,8.70774335046767,68.29724628,8.708,68.858,8.709,69.472,8.71,70.061,8.711,70.627,8.712,71.172
1,297,24,8.67412338594526,71.2598448,8.674,71.831,8.675,72.456,8.676,73.056,8.677,73.632,8.678,74.186
1,289,24,7.63927334122247,71.49606528000001,,,,,,,,,,
1,277,24,8.1544666865631,71.98491044,8.155,72.549,8.155,73.135,8.155,73.697,8.155,74.237,8.155,74.755
1,11,24,8.123140007047,68.13648512,8.123,68.702,8.123,69.279,8.123,69.833,8.123,70.365,8.123,70.877
1,267,24,8.33599000434456,67.33267932,8.336,67.924,8.337,68.521,8.338,69.094,8.338,69.645,8.338,70.175
1,9,24,7.63850001138247,62.7952776,7.639,63.378,7.639,63.962,7.639,64.521,7.639,65.058,7.639,65.575
1,258,24,8.1198100045272,66.07283676,8.12,66.721,8.121,67.367,8.122,67.985,8.123,68.578,8.124,69.147
1,252,24,8.70934334259257,67.0767738,8.712,67.847,8.716,68.609,8.72,69.339,8.724,70.037,8.727,70.708
