plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,369,24,10.2029000004061,72.06036976,10.219,73.081,10.243,74.091,10.267,75.06,10.287,75.991,10.305,76.886
1,355,24,9.079240011921,67.69029088,9.084,68.532,9.093,69.384,9.102,70.201,9.11,70.985,9.117,71.739
1,344,24,8.35564000674657,68.04790244,8.359,68.844,8.366,69.665,8.373,70.452,8.379,71.207,8.384,71.933
1,322,24,9.08799334755881,71.77165584000001,9.09,72.488,9.095,73.27,9.1,74.02,9.104,74.74,9.108,75.432
1,315,24,9.01002662012898,71.74868996,9.011,72.432,9.015,73.188,9.019,73.913,9.022,74.609,9.025,75.278
1,302,24,9.53799336252437,69.7014458,9.539,70.38,9.544,71.152,9.549,71.893,9.553,72.605,9.557,73.289
1,293,24,9.16767668240294,70.28543531999999,9.168,70.922,9.171,71.662,9.174,72.372,9.177,73.053,9.18,73.708
1,285,24,8.76251336654387,67.09973968,8.763,67.726,8.766,68.459,8.769,69.162,8.772,69.837,8.774,70.484
1,278,24,9.60305997899983,69.5866164,9.604,70.254,9.609,71.041,9.614,71.796,9.619,72.521,9.623,73.218
1,276,24,9.11692002482594,67.03084204,9.117,67.65,9.12,68.385,9.123,69.09,9.126,69.767,9.129,70.418
1,269,24,8.78532001215833,66.18766615999999,8.786,66.793,8.789,67.506,8.792,68.19,8.794,68.847,8.796,69.478
1,10,24,8.33927002332423,64.44882095999999,8.34,65.041,8.342,65.742,8.344,66.414,8.346,67.059,8.348,67.68
1,262,24,8.65008332694963,66.01378163999999,8.65,66.631,8.654,67.374,8.658,68.086,8.661,68.77,8.664,69.428
1,257,24,9.0020367154876,70.65945108,9.003,71.298,9.008,72.072,9.013,72.814,9.017,73.526,9.021,74.211
1,8,24,8.54279664234083,64.35695744,8.543,64.992,8.547,65.749,8.551,66.475,8.555,67.172,8.558,67.842
1,248,24,8.76108332469729,67.25065832,8.762,67.915,8.768,68.707,8.774,69.466,8.779,70.195,8.783,70.896
1,242,24,8.05504338561857,66.35170816,8.056,66.997,8.06,67.758,8.064,68.488,8.068,69.188,8.071,69.861
1,239,24,8.97326000201716,66.92257432,8.976,67.675,8.987,68.563,8.998,69.41,9.007,70.223,9.015,71.005
1,4,24,8.19706998221947,60.87926704,8.201,61.683,8.212,62.572,8.223,63.425,8.233,64.243,8.242,65.03
1,232,24,9.83007665415343,67.73950348,9.843,68.722,9.872,69.769,9.901,70.773,9.926,71.738,9.948,72.666
1,392,24,9.9333299900585,74.99015988,9.942,75.918,9.956,76.841,9.97,77.726,9.982,78.576,9.993,79.393
1,23,24,8.70319999182797,65.15092072,8.706,65.906,8.711,66.695,8.716,67.451,8.721,68.177,8.725,68.875
1,357,24,8.42441999585313,71.28609152,8.425,71.959,8.428,72.679,8.431,73.37,8.433,74.033,8.435,74.67
1,349,24,8.2972166886696,71.27952984,8.298,71.908,8.3,72.59,8.302,73.244,8.304,73.872,8.305,74.476
1,340,24,8.46864666292934,63.667981039999994,8.469,64.287,8.471,64.96,8.473,65.606,8.474,66.226,8.475,66.823
1,338,24,7.96280669263831,64.40288919999999,7.963,64.982,7.964,65.619,7.965,66.23,7.966,66.817,7.967,67.382
1,328,24,8.87097666207019,70.23622272,8.871,70.843,8.873,71.537,8.875,72.202,8.877,72.841,8.879,73.456
1,310,24,8.36423000932903,66.8307108,8.364,67.391,8.366,68.064,8.368,68.71,8.369,69.33,8.37,69.926
1,304,24,8.10179003828217,65.65945092000001,8.102,66.203,8.104,66.875,8.106,67.517,8.107,68.134,8.108,68.727
1,296,24,7.7886000122568,65.61023832000001,,,,,,,,,,
1,291,24,8.69591000465927,68.44816492,8.696,68.999,8.698,69.702,8.7,70.376,8.702,71.023,8.704,71.646
1,283,24,8.40617334707637,71.14829624,8.406,71.696,8.408,72.387,8.41,73.05,8.412,73.686,8.414,74.298
1,273,24,8.1817866999393,70.97769256,8.182,71.536,8.184,72.243,8.186,72.921,8.188,73.572,8.19,74.198
1,270,24,8.99239003568517,67.88714128,8.993,68.477,8.997,69.23,9.001,69.952,9.004,70.645,9.007,71.312
1,259,24,6.84524666048074,63.599083400000005,,,,,,,,,,
1,7,24,8.00985663519071,59.8261174,8.011,60.501,8.016,61.283,8.021,62.033,8.025,62.753,8.029,63.445
1,238,24,8.72343334308009,67.44750872,8.725,68.183,8.732,69.011,8.739,69.805,8.745,70.567,8.75,71.299
1,236,24,9.49885334725409,64.5669312,9.505,65.442,9.523,66.402,9.541,67.323,9.557,68.208,9.571,69.059
1,443,24,9.6358833255465,70.63648520000001,9.64,71.466,9.65,72.328,9.66,73.155,9.668,73.945,9.675,74.705
1,430,24,8.75381333162413,69.34711508,8.755,70.036,8.758,70.771,8.761,71.476,8.764,72.153,8.766,72.804
1,421,24,8.9635466846718,68.71063212,8.964,69.376,8.967,70.102,8.97,70.798,8.973,71.466,8.975,72.109
1,410,24,8.09311334282003,69.143703,8.093,69.759,8.095,70.447,8.097,71.107,8.099,71.741,8.1,72.35
1,389,24,8.5292100061616,67.70997592,8.53,68.326,8.533,69.063,8.536,69.77,8.539,70.449,8.542,71.102
1,362,24,8.49734998561173,69.03215444,8.497,69.6,8.5,70.341,8.503,71.052,8.506,71.734,8.509,72.39
1,343,24,8.49379002616477,72.95275824000001,8.494,73.494,8.498,74.258,8.502,74.99,8.506,75.692,8.509,76.367
1,336,24,8.98610334889393,72.88714144000001,,,,,,,,,,
1,18,24,8.58343331316536,69.28149828000001,,,,,,,,,,
1,321,24,8.74093999301883,72.24737764,,,,,,,,,,
1,308,24,8.68083334978514,68.0446216,,,,,,,,,,
1,305,24,8.70774335046767,68.29724628,,,,,,,,,,
1,297,24,8.67412338594526,71.2598448,8.674,71.809,8.68,72.613,8.686,73.383,8.691,74.122,8.695,74.832
1,289,24,7.63927334122247,71.49606528000001,,,,,,,,,,
1,277,24,8.1544666865631,71.98491044,8.155,72.548,8.158,73.286,8.161,73.993,8.164,74.672,8.166,75.324
1,11,24,8.123140007047,68.13648512,8.123,68.711,8.126,69.445,8.129,70.149,8.132,70.824,8.134,71.473
1,9,24,7.63850001138247,62.7952776,7.639,63.392,7.642,64.115,7.645,64.808,7.647,65.473,7.649,66.112
1,258,24,8.1198100045272,66.07283676,8.12,66.712,8.124,67.462,8.128,68.181,8.131,68.871,8.134,69.534
1,252,24,8.70934334259257,67.0767738,8.711,67.815,8.72,68.673,8.729,69.495,8.737,70.284,8.744,71.042
1,499,24,9.6802700057442,68.88451664,9.683,69.663,9.692,70.508,9.701,71.319,9.708,72.098,9.714,72.847
1,485,24,9.8357333542283,71.11548784,9.837,71.812,9.843,72.603,9.849,73.361,9.854,74.089,9.858,74.789
1,463,24,8.77096668022574,67.29002840000001,8.771,67.895,8.774,68.618,8.777,69.311,8.78,69.977,8.782,70.617
1,451,24,8.37674333393294,67.35892604,8.377,67.932,8.379,68.64,8.381,69.319,8.383,69.971,8.385,70.597
1,441,24,8.69119340014534,72.95603908,8.691,73.529,8.695,74.282,8.699,75.004,8.702,75.697,8.705,76.363
1,404,24,8.38212999608104,65.76771864,,,,,,,,,,
1,25,24,8.57747667854344,67.27690504,,,,,,,,,,
1,385,24,9.30997004924543,69.0944904,,,,,,,,,,
1,376,24,9.48601669704057,73.76312572,,,,,,,,,,
1,361,24,9.6039233550047,73.07743016,,,,,,,,,,
1,21,24,8.80031333630324,70.91207576000001,,,,,,,,,,
1,331,24,7.77640667290453,66.98491028000001,,,,,,,,,,
1,17,24,7.8400433527004,64.83267923999999,,,,,,,,,,
1,311,24,7.8998500152118,68.241472,,,,,,,,,,
1,303,24,8.04251002903639,68.21194444,,,,,,,,,,
1,13,24,8.13261336089616,67.08333548,8.133,67.626,8.136,68.337,8.139,69.019,8.141,69.674,8.143,70.303
1,290,24,8.74605007371913,70.72506788,8.746,71.307,8.749,72.037,8.752,72.736,8.755,73.407,8.757,74.052
1,282,24,9.29213667061991,71.74540911999999,9.293,72.404,9.3,73.219,9.307,74.001,9.313,74.751,9.318,75.472
1,527,24,9.51942998088084,69.66207572,9.521,70.384,9.527,71.185,9.533,71.953,9.538,72.691,9.543,73.4
1,509,24,9.04496004114697,69.95078964000001,9.045,70.57,9.048,71.281,9.051,71.963,9.053,72.618,9.055,73.248
1,496,24,8.62043669567331,66.69947719999999,8.621,67.28,8.623,67.963,8.625,68.618,8.627,69.247,8.628,69.852
1,454,24,7.67807331999166,66.26312548,,,,,,,,,,
