plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,369,24,10.2029000004061,72.06036976,10.215,73.028,10.232,73.98,10.249,74.893,10.264,75.77,10.277,76.614
1,355,24,9.079240011921,67.69029088,9.082,68.474,9.087,69.256,9.092,70.006,9.096,70.726,9.1,71.418
1,344,24,8.35564000674657,68.04790244,8.357,68.768,8.36,69.488,8.363,70.178,8.365,70.841,8.367,71.478
1,339,24,8.74665334242447,68.20210192,8.748,68.893,8.75,69.589,8.752,70.257,8.754,70.898,8.756,71.515
1,335,24,8.668816706059,72.40485796,8.67,73.063,8.672,73.732,8.674,74.374,8.675,74.991,8.676,75.584
1,322,24,9.08799334755881,71.77165584000001,9.089,72.454,9.091,73.155,9.093,73.828,9.095,74.474,9.097,75.095
1,315,24,9.01002662012898,71.74868996,9.011,72.424,9.013,73.123,9.015,73.793,9.017,74.437,9.019,75.056
1,302,24,9.53799336252437,69.7014458,9.539,70.383,9.542,71.095,9.545,71.778,9.547,72.434,9.549,73.065
1,293,24,9.16767668240294,70.28543531999999,9.168,70.934,9.17,71.611,9.172,72.261,9.174,72.885,9.175,73.486
1,285,24,8.76251336654387,67.09973968,8.763,67.744,8.765,68.414,8.767,69.057,8.768,69.674,8.769,70.268
1,278,24,9.60305997899983,69.5866164,9.604,70.278,9.607,71.0,9.61,71.693,9.613,72.358,9.615,72.998
1,276,24,9.11692002482594,67.03084204,9.118,67.678,9.12,68.353,9.122,69.001,9.124,69.623,9.125,70.222
1,269,24,8.78532001215833,66.18766615999999,8.786,66.819,8.787,67.475,8.788,68.104,8.789,68.709,8.79,69.291
1,10,24,8.33927002332423,64.44882095999999,8.34,65.062,8.341,65.7,8.342,66.312,8.343,66.9,8.344,67.466
1,262,24,8.65008332694963,66.01378163999999,8.651,66.656,8.653,67.328,8.655,67.973,8.656,68.592,8.657,69.188
1,257,24,9.0020367154876,70.65945108,9.003,71.34,9.005,72.047,9.007,72.726,9.009,73.378,9.011,74.005
1,8,24,8.54279664234083,64.35695744,8.544,65.04,8.546,65.74,8.548,66.411,8.55,67.056,8.552,67.676
1,248,24,8.76108332469729,67.25065832,8.763,67.974,8.766,68.713,8.769,69.422,8.772,70.103,8.775,70.758
1,239,24,8.97326000201716,66.92257432,8.977,67.712,8.983,68.509,8.989,69.274,8.994,70.005,8.998,70.708
1,237,24,8.19378339508536,68.56299432,8.196,69.31,8.2,70.056,8.204,70.771,8.207,71.457,8.21,72.117
1,4,24,8.19706998221947,60.87926704,8.202,61.706,8.209,62.52,8.216,63.301,8.222,64.051,8.227,64.772
1,232,24,9.83007665415343,67.73950348,9.846,68.758,9.867,69.745,9.888,70.692,9.906,71.602,9.922,72.477
1,392,24,9.9333299900585,74.99015988,9.94,75.867,9.95,76.743,9.961,77.583,9.97,78.39,9.978,79.166
1,23,24,8.70319999182797,65.15092072,8.704,65.85,8.707,66.561,8.71,67.243,8.712,67.899,8.714,68.53
1,370,24,8.3498800302691,66.44357167999999,8.351,67.09,8.352,67.748,8.353,68.379,8.354,68.985,8.355,69.568
1,357,24,8.42441999585313,71.28609152,8.425,71.904,8.426,72.538,8.427,73.146,8.428,73.73,8.429,74.292
1,349,24,8.2972166886696,71.27952984,8.298,71.883,8.299,72.507,8.3,73.105,8.301,73.68,8.302,74.233
1,340,24,8.46864666292934,63.667981039999994,8.469,64.281,8.47,64.918,8.471,65.529,8.472,66.116,8.473,66.681
1,328,24,8.87097666207019,70.23622272,8.871,70.843,8.872,71.487,8.873,72.105,8.874,72.699,8.875,73.27
1,320,24,8.16129334280229,69.1272988,8.161,69.692,8.162,70.288,8.163,70.86,8.163,71.41,8.163,71.939
1,310,24,8.36423000932903,66.8307108,8.364,67.406,8.365,68.022,8.366,68.613,8.367,69.181,8.368,69.727
1,291,24,8.69591000465927,68.44816492,8.696,69.034,8.697,69.666,8.698,70.272,8.699,70.855,8.7,71.416
1,283,24,8.40617334707637,71.14829624,8.406,71.721,8.407,72.333,8.408,72.92,8.409,73.484,8.41,74.027
1,273,24,8.1817866999393,70.97769256,8.182,71.561,8.183,72.182,8.184,72.778,8.185,73.351,8.186,73.902
1,270,24,8.99239003568517,67.88714128,8.993,68.514,8.995,69.186,8.997,69.831,8.998,70.451,8.999,71.047
1,250,24,8.2965599938172,65.17388659999999,8.297,65.844,8.299,66.527,8.301,67.182,8.303,67.811,8.304,68.416
1,243,24,8.60446668106653,67.66076332,8.606,68.371,8.609,69.096,8.612,69.792,8.615,70.46,8.617,71.102
1,238,24,8.72343334308009,67.44750872,8.727,68.234,8.732,69.02,8.737,69.774,8.742,70.498,8.746,71.194
1,236,24,9.49885334725409,64.5669312,9.508,65.496,9.522,66.411,9.536,67.289,9.548,68.133,9.558,68.944
1,443,24,9.6358833255465,70.63648520000001,9.639,71.437,9.647,72.273,9.655,73.075,9.662,73.845,9.668,74.586
1,430,24,8.75381333162413,69.34711508,8.755,70.02,8.758,70.731,8.761,71.413,8.763,72.068,8.765,72.698
1,421,24,8.9635466846718,68.71063212,8.964,69.372,8.966,70.078,8.968,70.755,8.97,71.405,8.972,72.03
1,402,24,8.3039200157515,70.73491039999999,8.304,71.326,8.305,71.973,8.306,72.594,8.307,73.19,8.308,73.763
