plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,2911,24,10.3311200293855,65.60695748,10.337,66.455,10.344,67.268,10.351,68.048,10.357,68.797,10.362,69.518
1,2853,24,9.91103003916803,68.5203434,9.914,69.294,9.918,70.035,9.922,70.746,9.925,71.429,9.928,72.086
1,2787,24,9.66300668913727,68.44160324,9.665,69.188,9.668,69.903,9.671,70.589,9.673,71.248,9.675,71.881
1,2726,24,10.4576866324098,68.7992148,10.462,69.607,10.467,70.381,10.472,71.123,10.476,71.836,10.48,72.522
1,2115,24,9.8257333353042,69.24868988,9.828,70.01,9.831,70.739,9.834,71.439,9.837,72.111,9.839,72.758
1,2051,24,9.72396335546913,70.23950356,9.725,70.947,9.727,71.625,9.729,72.276,9.731,72.901,9.732,73.503
1,1985,24,10.3896966812965,74.07808636,10.391,74.784,10.393,75.461,10.395,76.111,10.397,76.735,10.398,77.332
1,1939,24,9.6580566574005,74.28477928,9.659,74.943,9.66,75.574,9.661,76.179,9.662,76.761,9.663,77.321
1,1864,24,9.59721333817376,70.56102588,9.598,71.225,9.599,71.861,9.6,72.472,9.601,73.059,9.602,73.624
1,1804,24,10.0895866908648,69.60630144000001,10.091,70.297,10.092,70.959,10.094,71.594,10.095,72.205,10.096,72.792
1,100,24,10.2262166031973,59.632547839999994,10.228,60.352,10.23,61.042,10.232,61.705,10.234,62.343,10.236,62.957
1,1702,24,10.2550366881623,68.63845364,10.257,69.389,10.26,70.108,10.263,70.798,10.266,71.461,10.268,72.099
1,1643,24,10.4099433558847,72.014438,10.414,72.832,10.419,73.615,10.424,74.363,10.428,75.081,10.432,75.772
1,1585,24,9.85768335106177,70.5052516,9.865,71.394,9.874,72.246,9.883,73.063,9.891,73.847,9.898,74.601
1,3161,24,11.439510004396,64.97047452,11.454,65.965,11.472,66.918,11.491,67.834,11.507,68.714,11.521,69.561
1,3116,24,10.2994366403389,66.82414912,10.305,67.675,10.312,68.491,10.319,69.274,10.325,70.026,10.33,70.749
1,3059,24,9.74848667269214,63.78609128,9.752,64.584,9.757,65.348,9.762,66.081,9.766,66.785,9.769,67.463
1,3014,24,9.64896002546043,64.26837476,9.653,65.09,9.658,65.874,9.663,66.626,9.668,67.348,9.672,68.043
1,2603,24,10.78383996771,70.45931983999999,10.792,71.36,10.802,72.223,10.812,73.051,10.821,73.846,10.828,74.611
1,2541,24,9.9508633475431,67.73622264000001,9.956,68.569,9.962,69.366,9.968,70.131,9.973,70.866,9.977,71.573
1,2469,24,9.55632667968153,69.4389786,9.561,70.265,9.567,71.056,9.573,71.814,9.578,72.542,9.582,73.242
1,2432,24,8.5527733617891,65.534779,8.556,66.313,8.56,67.058,8.564,67.772,8.567,68.458,8.57,69.117
1,115,24,8.43839666807223,64.9114194,8.443,65.751,8.449,66.555,8.455,67.326,8.46,68.066,8.465,68.777
