cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision,LD,CI1
1944,2911,19.997,13.2,4.736,21.547,43.939,61.573,77.831,16.528,42.735,68.515,87.862,109.301,10.6,725389.72075,4162613.09825,19.99675,12.1735442818608,4.991,1,2910,7,1.65,1.782,1.817,2.219,2.182,1.605,1.606,1.667,1.719,2.031,1.664,1.669,1.715,1.794,3.0,67.0,725389.819,4162613.312,0,26844.5658775,22,15.7144339661649,18.4639346333333,10.6278909368431,10.3311200293855,Point,725389.819,4162613.312,65.60695748,Alive,1,Keep,27.97667303957594,8.467
1903,2853,20.885,13.2,3.53,22.998,45.326,56.572,70.216,13.121,44.381,69.7,82.127,99.67,0.0,725392.6415,4162615.38,20.885,11.9322181562675,4.573,1,2852,7,1.872,1.875,1.803,1.875,1.769,1.961,1.93,1.881,1.969,1.778,1.911,1.903,1.864,1.931,5.0,126.0,725392.927,4162615.459,0,26844.5658775,22,15.2815710993082,16.4695384285714,10.1422892365163,9.91103003916803,Point,725392.927,4162615.459,68.5203434,Alive,2,Keep,26.839069346067028,10.066
1859,2787,20.861,13.4,3.53,22.499,42.293,53.772,61.873,13.659,43.54,65.101,79.07,90.072,4.0,725395.804,4162617.22025,20.8615,11.2684561249916,4.751,1,2786,7,1.811,1.875,1.947,1.907,1.835,1.951,1.814,1.842,1.784,1.935,1.908,1.79,1.844,1.783,4.0,94.0,725395.882,4162617.253,0,26844.5658775,22,14.406333571485,14.8418436,9.90540302167606,9.66300668913727,Point,725395.882,4162617.253,68.44160324,Alive,3,Keep,26.167422114183726,11.239
1816,2726,20.97,13.4,5.648,25.79,47.906,64.663,77.661,17.851,47.86,71.183,89.566,106.714,0.0,725398.87725,4162619.65625,20.96975,11.8872731566953,4.571,1,2725,8,2.101,2.077,2.034,2.08,3.21,2.381,2.279,2.405,2.475,2.706,2.265,2.18,2.282,2.344,5.0,123.0,725398.76,4162619.335,0,26844.5658775,22,16.1827564229402,16.6784984,10.4505481791975,10.4576866324098,Point,725398.76,4162619.335,68.7992148,Alive,4,Keep,28.31941540056574,11.788
1434,2115,21.107,14.0,3.7,25.374,49.047,62.16,73.877,14.268,47.997,72.572,86.106,101.849,0.0,725429.429,4162639.27275,21.10675,12.1154915317602,4.475,1,2114,6,1.576,1.637,1.558,1.634,1.143,1.501,1.646,1.72,1.711,1.326,1.572,1.647,1.664,1.674,5.0,138.0,725429.378,4162639.228,0,26844.5658775,22,15.8072186064945,15.7493991666667,10.3516411932618,9.8257333353042,Point,725429.378,4162639.228,69.24868988,Alive,13,Keep,26.608085872003777,11.981
1397,2051,21.409,14.6,6.438,28.879,48.892,56.368,72.535,19.934,50.505,71.675,82.21,103.089,4.8,725432.568,4162641.38175,21.40875,12.0824679370853,4.543,1,2050,7,1.893,1.834,1.84,1.866,2.051,1.935,1.885,1.779,1.883,1.927,1.897,1.848,1.794,1.876,4.0,101.0,725432.447,4162641.287,0,26844.5658775,22,15.943677478515,17.5709181,10.2599182689301,9.72396335546913,Point,725432.447,4162641.287,70.23950356,Alive,14,Keep,26.332492766610404,11.762
1364,1985,22.579,14.6,5.132,25.343,50.989,59.319,75.334,16.903,45.752,76.253,86.77,107.168,13.4,725435.918,4162643.19325,22.57875,11.1067547811545,4.51,1,1984,7,1.734,1.933,1.828,1.905,1.581,1.71,1.914,1.818,1.909,1.607,1.733,1.938,1.858,1.914,4.0,100.0,725435.739,4162643.245,0,26844.5658775,22,17.0165596217078,18.7820466333333,10.7789210315513,10.3896966812965,Point,725435.739,4162643.245,74.07808636,Alive,15,Keep,28.135298612950926,11.29
1334,1939,22.642,15.2,3.746,24.414,43.891,57.208,64.706,13.961,46.245,68.272,85.506,98.742,0.0,725438.359,4162644.6465,22.6425,11.0593433746835,4.485,1,1938,6,1.589,1.791,1.661,1.869,1.086,1.568,1.51,1.628,1.524,1.245,1.647,1.58,1.694,1.641,4.0,118.0,725438.499,4162644.871,0,26844.5658775,22,15.8146482555365,17.3408282285715,10.3214637437367,9.6580566574005,Point,725438.499,4162644.871,74.28477928,Alive,16,Keep,26.154017428240557,11.296
1294,1864,21.507,13.8,5.2,25.317,49.009,60.823,67.629,17.405,46.921,73.328,85.8,95.984,0.0,725441.452,4162647.2525,21.507,12.3351376245992,4.704,1,1863,7,1.903,1.826,1.849,1.805,1.753,1.762,1.904,1.88,1.689,1.753,1.774,1.886,1.828,1.671,5.0,118.0,725441.52,4162647.152,0,26844.5658775,22,15.4115443763518,15.5455070285714,10.1152483080318,9.59721333817376,Point,725441.52,4162647.152,70.56102588,Alive,17,Keep,25.989253719774542,10.766
1262,1804,21.216,13.2,4.526,21.217,41.738,56.757,70.428,15.762,42.118,66.358,85.057,102.895,0.0,725444.73575,4162649.498,21.216,10.6630184374662,4.515,1,1803,7,1.611,1.953,1.807,1.836,1.478,1.519,1.658,1.739,1.756,1.538,1.653,1.768,1.847,1.845,4.0,107.0,725444.768,4162649.45,0,26844.5658775,22,15.5666964313861,18.0681560333334,10.4765504614955,10.0895866908648,Point,725444.768,4162649.45,69.60630144000001,Alive,18,Keep,27.32260075886188,10.107
