plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,2911,24,10.3311200293855,65.60695748,10.337,66.454,10.344,67.266,10.351,68.045,10.357,68.793,10.362,69.513
1,2853,24,9.91103003916803,68.5203434,9.914,69.299,9.918,70.045,9.922,70.761,9.925,71.449,9.928,72.11
1,2787,24,9.66300668913727,68.44160324,9.665,69.179,9.668,69.886,9.671,70.564,9.673,71.215,9.675,71.841
1,2670,24,10.1199266829403,68.64829616,10.121,69.346,10.123,70.012,10.125,70.652,10.126,71.267,10.127,71.858
1,2602,24,9.67996665892499,67.19816488,9.681,67.864,9.682,68.502,9.683,69.114,9.684,69.703,9.685,70.268
1,2489,24,10.2844132781482,64.79330915999999,10.285,65.461,10.286,66.101,10.287,66.716,10.288,67.307,10.289,67.876
1,2364,24,10.6870466222857,67.59514652,10.688,68.287,10.69,68.951,10.692,69.589,10.693,70.202,10.694,70.792
1,2301,24,9.12839668348379,64.96391283999999,9.129,65.586,9.13,66.18,9.131,66.751,9.131,67.3,9.131,67.828
1,2232,24,10.3972833589476,69.88517284,10.398,70.556,10.399,71.199,10.4,71.817,10.401,72.411,10.402,72.983
1,2179,24,9.71987665168883,65.89895224,9.721,66.549,9.722,67.173,9.723,67.772,9.724,68.348,9.725,68.902
1,2115,24,9.8257333353042,69.24868988,9.827,69.907,9.828,70.538,9.829,71.144,9.83,71.726,9.831,72.287
1,2051,24,9.72396335546913,70.23950356,9.725,70.904,9.726,71.541,9.727,72.153,9.728,72.741,9.729,73.307
1,1985,24,10.3896966812965,74.07808636,10.391,74.787,10.393,75.466,10.395,76.116,10.397,76.74,10.398,77.341
1,1939,24,9.6580566574005,74.28477928,9.659,74.958,9.66,75.603,9.661,76.222,9.662,76.817,9.663,77.389
1,1864,24,9.59721333817376,70.56102588,9.598,71.256,9.6,71.922,9.602,72.561,9.603,73.175,9.604,73.766
1,1804,24,10.0895866908648,69.60630144000001,10.092,70.344,10.095,71.051,10.098,71.729,10.1,72.381,10.102,73.008
1,100,24,10.2262166031973,59.632547839999994,10.23,60.415,10.234,61.165,10.238,61.885,10.242,62.578,10.245,63.245
1,1702,24,10.2550366881623,68.63845364,10.26,69.463,10.266,70.253,10.272,71.011,10.277,71.74,10.281,72.441
1,1643,24,10.4099433558847,72.014438,10.42,72.961,10.433,73.863,10.446,74.729,10.457,75.56,10.467,76.359
1,1585,24,9.85768335106177,70.5052516,9.875,71.545,9.897,72.541,9.919,73.496,9.938,74.413,9.954,75.29
1,3161,24,11.439510004396,64.97047452,11.449,65.89,11.461,66.772,11.473,67.62,11.483,68.435,11.492,69.219
1,3116,24,10.2994366403389,66.82414912,10.302,67.583,10.305,68.31,10.308,69.008,10.311,69.679,10.313,70.324
1,3059,24,9.74848667269214,63.78609128,9.75,64.469,9.751,65.124,9.752,65.753,9.753,66.358,9.754,66.94
1,3014,24,9.64896002546043,64.26837476,9.65,64.933,9.651,65.571,9.652,66.183,9.653,66.772,9.654,67.339
1,2903,24,9.6643466507889,69.69816496,9.665,70.362,9.666,70.998,9.667,71.609,9.668,72.196,9.669,72.761
1,2837,24,9.27027334904553,69.9475088,9.271,70.584,9.272,71.194,9.273,71.779,9.274,72.342,9.275,72.884
1,2721,24,10.2270499885444,70.96785004,10.228,71.626,10.229,72.257,10.23,72.863,10.231,73.446,10.232,74.007
1,2603,24,10.78383996771,70.45931983999999,10.785,71.167,10.787,71.846,10.789,72.498,10.791,73.124,10.792,73.727
1,2541,24,9.9508633475431,67.73622264000001,9.952,68.43,9.954,69.095,9.956,69.733,9.957,70.347,9.958,70.938
1,2469,24,9.55632667968153,69.4389786,9.558,70.165,9.56,70.86,9.562,71.527,9.564,72.168,9.566,72.785
1,2432,24,8.5527733617891,65.534779,8.554,66.25,8.556,66.935,8.558,67.592,8.56,68.223,8.561,68.83
1,115,24,8.43839666807223,64.9114194,8.448,65.843,8.46,66.735,8.472,67.59,8.482,68.411,8.491,69.2
1,157,24,11.7973366146182,57.335959839999994,11.824,58.432,11.857,59.485,11.891,60.498,11.92,61.473,11.945,62.413
1,2976,24,10.6773200168429,68.0446216,10.685,68.947,10.695,69.811,10.705,70.64,10.714,71.437,10.722,72.203
1,2806,24,9.8312800303065,69.49475288,9.833,70.209,9.835,70.894,9.837,71.551,9.839,72.182,9.84,72.789
1,2617,24,10.1451866812937,69.1272988,10.146,69.804,10.147,70.453,10.148,71.076,10.149,71.675,10.15,72.251
1,2556,24,10.8403299237557,74.94750896000001,10.841,75.635,10.842,76.294,10.843,76.927,10.844,77.535,10.845,78.12
