plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,2911,24,10.3311200293855,65.60695748,10.336,66.442,10.342,67.243,10.348,68.011,10.353,68.749,10.358,69.459
1,2853,24,9.91103003916803,68.5203434,9.913,69.263,9.916,69.974,9.919,70.657,9.921,71.313,9.923,71.944
1,2726,24,10.4576866324098,68.7992148,10.459,69.484,10.46,70.14,10.461,70.77,10.462,71.376,10.463,71.959
1,2602,24,9.67996665892499,67.19816488,9.68,67.819,9.681,68.414,9.682,68.984,9.682,69.532,9.682,70.06
1,2540,24,10.2159900306042,71.38779756,10.217,72.025,10.218,72.636,10.219,73.221,10.22,73.783,10.221,74.324
1,2364,24,10.6870466222857,67.59514652,10.688,68.275,10.689,68.927,10.69,69.553,10.691,70.155,10.692,70.735
1,2232,24,10.3972833589476,69.88517284,10.398,70.549,10.399,71.186,10.4,71.798,10.401,72.386,10.402,72.952
1,2179,24,9.71987665168883,65.89895224,9.72,66.537,9.721,67.149,9.722,67.736,9.723,68.301,9.724,68.845
1,2115,24,9.8257333353042,69.24868988,9.826,69.892,9.827,70.509,9.828,71.101,9.829,71.67,9.83,72.218
1,2051,24,9.72396335546913,70.23950356,9.725,70.885,9.726,71.504,9.727,72.098,9.728,72.669,9.729,73.219
1,1985,24,10.3896966812965,74.07808636,10.391,74.752,10.392,75.398,10.393,76.018,10.394,76.612,10.395,77.184
1,1939,24,9.6580566574005,74.28477928,9.659,74.934,9.66,75.556,9.661,76.153,9.662,76.727,9.663,77.277
1,1864,24,9.59721333817376,70.56102588,9.598,71.24,9.599,71.891,9.6,72.515,9.601,73.115,9.602,73.692
1,1804,24,10.0895866908648,69.60630144000001,10.091,70.314,10.093,70.993,10.095,71.644,10.097,72.27,10.098,72.872
1,100,24,10.2262166031973,59.632547839999994,10.229,60.39,10.232,61.116,10.235,61.814,10.238,62.485,10.24,63.131
1,1702,24,10.2550366881623,68.63845364,10.259,69.44,10.264,70.208,10.269,70.945,10.273,71.653,10.277,72.334
1,1643,24,10.4099433558847,72.014438,10.416,72.873,10.423,73.696,10.43,74.485,10.436,75.243,10.441,75.972
1,1585,24,9.85768335106177,70.5052516,9.867,71.429,9.878,72.313,9.889,73.161,9.899,73.975,9.907,74.758
1,3161,24,11.439510004396,64.97047452,11.451,65.926,11.466,66.842,11.481,67.722,11.494,68.568,11.505,69.383
1,3059,24,9.74848667269214,63.78609128,9.75,64.485,9.752,65.155,9.754,65.798,9.755,66.416,9.756,67.011
